sid,fid,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,distance,angle,rk,rk_count,mammal,wc_num,wc_dist,wc_type,wc_year,wc_road_n
1,328403,2860055904,2860032501,2860071700,2,103,0,23,차령로,0,0,0,80,0,0,0,76.84576596,,44150,공주시,,44150,51,0,3.758104468,0,78,0,1275,12.92983443,1,2008,8
2,166911,2884021400,2881851600,2881849700,2,103,0,45,문화로,0,0,0,50,0,0,0,185.7963545,,44200,아산시,,44200,49,0,243.9755047,0,2,0,1417,5.611092338,1,2015,2
3,166910,2884021300,2881849700,2881851600,2,103,0,45,문화로,0,0,0,50,0,0,0,185.7964875,,44200,아산시,,44200,49,0,63.97542105,0,1,0,1417,5.798781332,1,2015,2
4,166909,2884021200,2881854200,2881853400,2,103,0,39,아산로,0,0,0,30,0,0,0,138.149343,,44200,아산시,,44200,49,0,154.6130434,0,1,0,1417,5.592194026,1,2015,2
5,331881,2870023608,2870010901,2870010207,2,103,0,36,대청로,0,0,0,50,0,0,0,307.8352993,,44180,보령시,,44180,50,0,231.6552069,0,0,1,1403,19.80337218,2,2009,2
6,329261,2860025305,2860033800,2860035000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,1006.814459,,44150,공주시,,44150,51,0,22.82484136,0,63,2,1374,1.084346557,1,2009,4
7,329261,2860025305,2860033800,2860035000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,1006.814459,,44150,공주시,,44150,51,1000,23.08664688,0,19,0,1374,1.337062363,1,2009,4
8,93704,2890013632,2890005400,2890071801,2,103,0,32,서해로,0,0,0,60,0,0,0,135.6649065,,44210,서산시,,44210,48,0,247.3138624,0,3,9,1272,1.340714818,1,2010,4
9,329259,2860018901,2860007500,2860007501,2,103,0,1,금벽로,0,1,0,50,0,0,0,190.6405792,,44150,공주시,,44150,51,0,341.0462477,0,7,2,1541,3.695018174,1,2017,4
10,166879,2884018000,2881852700,2881852600,2,103,0,45,문화로,0,1,0,50,0,0,0,64.33667099,,44200,아산시,,44200,49,0,262.982044,0,2,0,1417,5.29713259,1,2015,2
11,207602,2920492600,2760116500,2920112100,2,103,4,37,대청로,0,0,0,80,0,0,0,678.2694339,,44710,금산군,,44710,44,0,191.6219335,0,0,5,1107,10.65264721,1,2007,6
12,93868,2890013509,2890005410,2890005409,2,103,0,32,서해로,0,0,0,80,0,0,0,108.6867613,,44210,서산시,,44210,48,0,119.0440789,0,4,3,1272,1.506825617,1,2010,4
13,93867,2890013508,2890005409,2890005408,2,103,0,32,서해로,0,0,0,80,0,0,0,270.6271792,,44210,서산시,,44210,48,0,121.1537612,0,4,3,1272,1.398729418,1,2010,4
14,207600,2920492200,2920004300,2920224100,2,101,0,35,통영대전고속도로,0,0,0,100,5,0,0,4547.781491,,44710,금산군,,44710,44,0,148.6401233,0,8,0,1107,7.227416274,1,2007,6
15,207600,2920492200,2920004300,2920224100,2,101,0,35,통영대전고속도로,0,0,0,100,5,0,0,4547.781491,,44710,금산군,,44710,44,1000,150.5942463,0,6,0,1107,8.191540267,1,2007,6
16,207600,2920492200,2920004300,2920224100,2,101,0,35,통영대전고속도로,0,0,0,100,5,0,0,4547.781491,,44710,금산군,,44710,44,2000,135.4413031,0,4,0,1107,9.187424012,1,2007,6
